name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
滝野川１丁目,repark-rep0009462,東京都北区滝野川１丁目５８ー１０,35.749877352151,139.73707039923,self_propelled,4,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0009462&st=4&pref=13
王子２丁目第３,repark-rep0019379,東京都北区王子２丁目３０ー１,35.756393330392,139.73753950423,self_propelled,4,TRUE,,,hourly,220,25,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0019379&st=4&pref=13
王子２丁目第２,repark-rep0011379,東京都北区王子２丁目３２ー８,35.756268357586,139.73833111124,self_propelled,21,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,21,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0011379&st=4&pref=13
王子２丁目第４,repark-rep0023927,東京都北区王子２丁目３２ー６,35.756321134793,139.73860886274,self_propelled,5,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0023927&st=4&pref=13
王子１丁目,repark-rep0011600,東京都北区王子１丁目２５ー１０,35.756054515038,139.73968100898,self_propelled,6,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0011600&st=4&pref=13
荒川１丁目第３,repark-rep0019658,東京都荒川区荒川１丁目１７ー１６,35.735435328076,139.78717523607,self_propelled,6,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0019658&st=4&pref=13
荒川１丁目第２,repark-rep0014438,東京都荒川区荒川１丁目５４ー６,35.733271640815,139.78547547687,self_propelled,16,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,16,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014438&st=4&pref=13
荒川１丁目,repark-rep0012672,東京都荒川区荒川１丁目１４ー１３,35.737382356859,139.78803618592,self_propelled,6,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0012672&st=4&pref=13
荒川３丁目,repark-rep0022022,東京都荒川区荒川３丁目４２ー１,35.733110447744,139.77978984548,self_propelled,3,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0022022&st=4&pref=13
荒川２丁目,repark-rep0018312,東京都荒川区荒川２丁目５１ー１１,35.740034785655,139.7842863752,self_propelled,4,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0018312&st=4&pref=13
荒川４丁目第４,repark-rep0014467,東京都荒川区荒川４丁目５６ー５,35.740154170892,139.78165325538,self_propelled,3,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014467&st=4&pref=13
南千住６丁目第２,repark-rep0024402,東京都荒川区南千住６丁目３ー５,35.736949088347,139.78907500859,self_propelled,8,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,8,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0024402&st=4&pref=13
東日暮里３丁目第２,repark-rep0010585,東京都荒川区東日暮里３丁目１９ー１１,35.731618959537,139.78089260057,self_propelled,4,TRUE,,,hourly,250,30,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0010585&st=4&pref=13
荒川７丁目,repark-rep0022024,東京都荒川区荒川７丁目３２ー１３,35.740176371722,139.78052001447,self_propelled,3,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0022024&st=4&pref=13
荒川４丁目第３,repark-rep0008363,東京都荒川区荒川４丁目４０,35.739987473575,139.77883960773,self_propelled,2,TRUE,,,hourly,250,20,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0008363&st=4&pref=13
板橋氷川町第５,repark-rep0026106,,35.752857085399,139.70821432449,self_propelled,4,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0026106&st=4&pref=13
板橋仲宿第４,repark-rep0016336,,35.75338482073,139.70900312368,self_propelled,2,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0016336&st=4&pref=13
