name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
湯島４丁目,repark-rep0012545,東京都文京区湯島４丁目４ー１,35.707418509276,139.7659643987,self_propelled,3,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0012545&st=4&pref=13
湯島２丁目第８,repark-rep0019146,東京都文京区湯島２丁目３ー７,35.703846655791,139.76518962751,self_propelled,3,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0019146&st=4&pref=13
白山１丁目第３,repark-rep0023496,東京都文京区白山１丁目３２ー１３,35.719933605251,139.75265937139,self_propelled,1,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0023496&st=4&pref=13
白山１丁目第２,repark-rep0005809,東京都文京区白山１丁目３２－１１,35.720083584745,139.7524038307,self_propelled,3,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0005809&st=4&pref=13
文京弥生２丁目第３,repark-rep0022281,東京都文京区弥生２丁目２ー１５,35.713873361272,139.76518638808,self_propelled,13,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,13,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0022281&st=4&pref=13
向丘１丁目第３,repark-rep0016536,東京都文京区向丘１丁目１３ー７,35.719714253121,139.75657572324,self_propelled,6,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0016536&st=4&pref=13
湯島２丁目第７,repark-rep0017074,東京都文京区湯島２丁目８ー５,35.703921666544,139.76626453479,self_propelled,3,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0017074&st=4&pref=13
白山４丁目,repark-rep0021930,東京都文京区白山４丁目３１ー９,35.720355727325,139.74952350138,self_propelled,1,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0021930&st=4&pref=13
湯島２丁目第２,repark-rep0012017,東京都文京区湯島２丁目２２ー１０,35.705365971953,139.76711717547,self_propelled,2,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0012017&st=4&pref=13
湯島２丁目第５,repark-rep0016096,東京都文京区湯島２丁目９ー２,35.703963335976,139.76665894411,self_propelled,1,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0016096&st=4&pref=13
湯島２丁目第４,repark-rep0014047,東京都文京区湯島２丁目２５ー１０,35.706182560022,139.76765598212,self_propelled,5,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014047&st=4&pref=13
白山駅前第２,repark-rep0027922,東京都文京区白山５丁目３６ー６,35.721033475914,139.75198993234,self_propelled,8,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,8,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027922&st=4&pref=13
向丘２丁目第７,repark-rep0027381,東京都文京区向丘２丁目１３ー１４,35.72045031678,139.7583727621,self_propelled,3,TRUE,,,hourly,550,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027381&st=4&pref=13
小日向１丁目第２,repark-rep0014495,東京都文京区小日向１丁目２０ー１２,35.713425694908,139.7370054161,self_propelled,3,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014495&st=4&pref=13
小石川５丁目第７,repark-rep0022482,東京都文京区小石川５丁目１３ー５,35.717472542756,139.74036606166,self_propelled,4,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0022482&st=4&pref=13
小日向１丁目,repark-rep0006000,東京都文京区小日向１丁目２６－１０,35.715381062689,139.73826077681,self_propelled,3,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0006000&st=4&pref=13
小石川５丁目第２,repark-rep0011319,東京都文京区小石川５丁目１４ー１,35.717497532515,139.73993276349,self_propelled,2,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0011319&st=4&pref=13
湯島３丁目第１２,repark-rep0027575,東京都文京区湯島３丁目２ー３シルバーピア湯島,35.703330091328,139.76783943124,self_propelled,6,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027575&st=4&pref=13
湯島３丁目第３,repark-rep0003840,東京都文京区湯島３丁目１７,35.705291015484,139.76915034307,self_propelled,6,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0003840&st=4&pref=13
